rank,company,headquarters,industry,sales_b,profit_b,assets_b,market_value_b,country,profit_margin,return_on_assets,asset_turnover,market_to_sales,market_to_profit,log_sales_b,log_profit_b,log_assets_b,log_market_value_b,log_sales_b_score,log_profit_b_score,log_assets_b_score,log_market_value_b_score,profit_margin_score,return_on_assets_score,asset_turnover_score,market_to_sales_score,ai_company_strength_score,ai_rank,forbes_vs_ai_rank_diff,company_cluster,cluster_label,pca_1,pca_2,portfolio_weight
27,NVIDIA,"Santa Clara, United States",Semiconductors,215.94,120.07,206.8,5480.0,United States,0.5560340835417246,0.3490104837141602,1.0441972920696323,25.377419653607483,45.6400433080703,5.3796208176120714,4.796368890719648,5.336576078665127,8.609042845046117,0.8114781163267,0.9436629817583652,0.5764742504917726,0.9999999999999998,0.5151472824753455,1.0,0.3592612332289471,0.6922801112137907,0.8247830552006431,1,26,1,Mega-Cap AI / Platform Leaders,23.456300291086063,3.273259522788443,0.04
4,Alphabet,"Mountain View, United States",IT Software & Services,423.17,160.21,703.92,4810.0,United States,0.3785948909421745,0.2275968860097738,0.6011620638708944,11.366590259233876,30.023094688221708,6.0501343182718585,5.082707862887907,6.558084321196168,8.478660241699453,0.9140704036984816,1.0,0.7178450199303135,0.984802978512908,0.3502385667469141,0.6512047693834507,0.2041922943913079,0.3093418309164879,0.8165289564973944,2,2,1,Mega-Cap AI / Platform Leaders,25.690970267615157,-1.3204932466978183,0.04
11,Apple,"Cupertino, United States",Technology Hardware & Equipment,451.44,122.58,371.08,4410.0,United States,0.2715311004784689,0.330333081815242,1.2165570766411555,9.768740031897927,35.97650513950074,6.11465515766318,4.816888719632834,5.9191088849158415,8.39185670010494,0.9239424502565144,0.9477002455895632,0.6438934525695377,0.9746854072042564,0.2507354528760481,0.946343829473593,0.4195897290022011,0.2656700395467067,0.8073613801375213,3,8,1,Mega-Cap AI / Platform Leaders,22.789157065740767,-1.1012377361616226,0.04
7,Microsoft,"Redmond, United States",IT Software & Services,318.27,125.22,694.23,3130.0,United States,0.3934395324724291,0.1803724990276997,0.4584503694740935,9.834417318628836,24.996007027631368,5.7660371397789225,4.838026416156094,6.544242726069599,8.049107721326406,0.8706019584713836,0.951859074496434,0.7162430684369324,0.9347355714019518,0.3640349030260583,0.5155392322477975,0.154241072453927,0.2674651043874382,0.7754272652956081,4,3,1,Mega-Cap AI / Platform Leaders,19.126864788970437,-0.7451399223838716,0.04
2,Amazon,"Seattle, United States",Retailing,742.78,90.8,916.63,2840.0,United States,0.1222434637443119,0.0990585077948572,0.8103378680601769,3.823473976143677,31.27753303964758,6.611745292180813,4.519612297626445,6.821794259265031,7.951911381854188,1.0,0.8892112907589909,0.7483653844725426,0.9234066454447164,0.1119902743882102,0.2819415721779096,0.2774069462329247,0.1031764501083318,0.7443651744853281,5,-3,1,Mega-Cap AI / Platform Leaders,19.18290743536622,-5.570698050940804,0.04
5,Saudi Arabian Oil Company (Saudi Aramco),"Dhahran, Saudi Arabia",Oil & Gas Operations,455.53,99.3,709.36,1790.0,Saudi Arabia,0.2179878383421509,0.1399853388970339,0.6421704071275516,3.929488727416416,18.026183282980867,6.123654415290844,4.60816569496789,6.565771883786394,7.490529402060711,0.9253193866250758,0.9066341177098824,0.7187347369216907,0.8696292880311981,0.2009733317490759,0.3995155817006713,0.2185458262721788,0.1060740020944285,0.7329157383289219,6,-1,1,Mega-Cap AI / Platform Leaders,15.459046356387576,-2.9880431155410534,0.04
31,Taiwan Semiconductor,"Hsinchu, Taiwan",Semiconductors,132.97,62.49,270.91,1860.0,Taiwan,0.4699556290892683,0.2306670111845262,0.4908272119892214,13.988117620515906,29.764762361977915,4.8976158942888945,4.150882413182359,5.605471129189412,7.528869256642251,0.7377286876283576,0.8166639107468993,0.607594711956745,0.8740980712808964,0.4351475531727064,0.6600245806615639,0.1655734503150438,0.380992348614234,0.7109986090194275,7,24,0,Global Scale Giants & Financial Leaders,11.13375083509063,2.1656776708347243,0.04
48,SK Hynix,"Icheon, South Korea",Semiconductors,92.7,52.74,145.48,858.04,South Korea,0.5689320388349515,0.3490104837141602,0.6372009898267804,9.256094929881336,16.269245354569584,4.540098189244376,3.984157603187345,4.986888900366255,6.755815486674259,0.6830264943088565,0.7838609060043148,0.5360033443303288,0.7839931458435289,0.527134404439595,1.0,0.2168064560857377,0.2516586324955365,0.6903175358401138,9,39,0,Global Scale Giants & Financial Leaders,8.473522095763595,3.218989766884576,0.04
15,Samsung Electronics,"Suwon-si, South Korea",Technology Hardware & Equipment,272.56,58.49,413.5,1170.0,South Korea,0.2145949515702964,0.1414510278113664,0.6591535671100363,4.292632814793073,20.00341938792956,5.611520976229896,4.085808231199814,6.02707297457535,7.065613363597717,0.8469601277866794,0.8038606051065625,0.6563886334414002,0.820102295925028,0.1978200453078935,0.4037261916533674,0.2244901856119566,0.1159993083276193,0.6751908161103307,11,4,0,Global Scale Giants & Financial Leaders,9.867641760792582,-1.329960402327049,0.04
6,ICBC,"Beijing, China",Banking,210.26,51.27,8070.0,313.62,China,0.2438409588128983,0.0063531598513011,0.0260545229244113,1.4915818510415677,6.117027501462844,5.353089602395016,3.9564225927248304,8.996032669324372,5.751365561394358,0.8074186931335914,0.7784040596011627,1.0000000000000002,0.6669173496454683,0.2250007454897659,0.0156189870084242,0.0028960759061944,0.0394421246740346,0.6369198627701268,14,-8,0,Global Scale Giants & Financial Leaders,10.955517001095911,-5.234497101312363,0.04
53,Broadcom,"Palo Alto, United States",Semiconductors,68.28,24.97,169.9,2010.0,United States,0.3657000585823081,0.1469688051795173,0.401883460859329,29.43760984182777,80.49659591509813,4.2381562642541795,3.256942025674657,5.141078590121546,7.606387389772652,0.6368277038181329,0.6407816843891063,0.5538484265993021,0.8831333620680405,0.3382543471793799,0.4195775828155077,0.1344418106031687,0.8032515751145236,0.6339613002872946,15,38,4,High-Margin Innovation Companies,8.17299788361517,3.572069269980135,0.04
9,China Construction Bank,"Beijing, China",Banking,192.27,48.16,6820.0,293.34,China,0.2504810942944817,0.0070615835777126,0.0281920821114369,1.5256670307380245,6.09094684385382,5.264088174997377,3.895080284697834,8.82776136765472,5.684735561735967,0.7938009807279611,0.7663349978868873,0.9805251879904044,0.6591511484000364,0.2311719650410292,0.0176541364620262,0.0036442535086446,0.0403737269174983,0.628160858303352,16,-7,0,Global Scale Giants & Financial Leaders,9.845607409565238,-4.497090598496147,0.04
10,Agricultural Bank of China,"Beijing, China",Banking,196.08,39.2,7390.0,272.65,China,0.1999184006527948,0.0053044654939106,0.0265331529093369,1.390503875968992,6.9553571428571415,5.2836097376757625,3.693866995624976,8.908018322784887,5.611849917589927,0.7967878881746814,0.7267464059075328,0.9898136946942452,0.6506558072137366,0.1841799293466453,0.0126063129986903,0.0030636035408705,0.0366795026435523,0.6131426592839754,17,-7,0,Global Scale Giants & Financial Leaders,9.479160540533671,-4.91198599551546,0.04
71,Eli Lilly,"Indianapolis, United States",Drugs & Biotechnology,72.25,25.27,116.58,946.37,United States,0.349757785467128,0.2167610224738377,0.6197460971007034,13.098546712802769,37.450336367233874,4.293878247897177,3.2684276036974484,4.7671189529741085,6.853689724377139,0.6453534766074994,0.643041464864275,0.5105683570903587,0.7954010856700461,0.3234378923325103,0.6200756570566052,0.21069698324864,0.3566789590201121,0.6092276476931399,18,53,4,High-Margin Innovation Companies,5.865857081333716,2.27588580929226,0.04
88,Micron Technology,"Boise, United States",Semiconductors,58.12,24.11,101.51,817.22,United States,0.4148313833448038,0.2375135454635011,0.572554428135159,14.060908465244324,33.8954790543343,4.079569276639947,3.2232661731694936,4.62996035479531,6.707131249097798,0.6125630144558233,0.6341559809351903,0.494694361414758,0.7783186510448246,0.383916095014904,0.6796932054936315,0.194179195130036,0.3829818383237355,0.6051066104817442,19,69,4,High-Margin Innovation Companies,5.55057490926469,2.8757494871380698,0.04
33,Tencent Holdings,"Shenzhen, China",IT Software & Services,108.24,33.12,296.95,526.75,China,0.3059866962305986,0.1115339282707526,0.3645058090587641,4.866500369549151,15.904287439613528,4.693547296605504,3.5298837226234783,5.696925687192988,6.26862268672843,0.7065050594739806,0.6944827968973709,0.618179168764697,0.7272073534211481,0.2827578486156695,0.31778078001131,0.1213590748926885,0.1316840225119887,0.5974919716179105,22,11,0,Global Scale Giants & Financial Leaders,5.326758237414688,0.2644364740509929,0.04
12,Bank of China,"Beijing, China",Banking,173.78,34.53,5730.0,196.26,China,0.1986995051214179,0.0060261780104712,0.030328097731239,1.1293589596040972,5.683753258036489,5.163528040199398,3.5703774100329357,8.653645314551737,5.284522655525848,0.778414721931997,0.7024499052130253,0.9603739360039528,0.6125034823849957,0.1830471103017564,0.0146796382967801,0.0043918908395405,0.0295419961929124,0.5911518412307148,23,-11,0,Global Scale Giants & Financial Leaders,7.823431131794775,-4.004235541749634,0.04
137,Novo Nordisk,"Bagsværd, Denmark",Drugs & Biotechnology,50.88,18.93,86.23,206.91,Denmark,0.3720518867924528,0.2195291661834628,0.5900498666357417,4.066627358490566,10.93026941362916,3.948933359448243,2.9922261342247034,4.468548308445127,5.337105293755297,0.5925749940141474,0.5886989940988608,0.4760134025848017,0.6186323635586309,0.3441576192655338,0.628027940341458,0.2003028595930514,0.1098222192818385,0.5349458237838083,40,97,4,High-Margin Innovation Companies,3.3339999874103436,1.6855733550323764,0.04
198,ASML Holding,"Veldhoven, Netherlands",Semiconductors,39.04,11.6,55.38,585.67,Netherlands,0.2971311475409836,0.2094618996027446,0.7049476345250992,15.001793032786884,50.48879310344827,3.68987895444702,2.533696813957432,4.032114485685967,6.374462481166128,0.5529382321343947,0.4984836298240944,0.4255029081123107,0.739543735645259,0.2745276648547978,0.5991068422511984,0.2405187923392023,0.4086977119605744,0.5305914706198581,45,153,4,High-Margin Innovation Companies,3.6305435427365778,2.5671280667891514,0.04
261,Kweichow Moutai,"Renhuai, China","Food, Drink & Tobacco",24.68,11.65,46.31,245.11,China,0.4720421393841167,0.251565536601166,0.532930252645217,9.931523500810371,21.039484978540777,3.2457124788217606,2.5376572151735295,3.8567216896430567,5.50577859046014,0.4849782959609711,0.4992628363493743,0.4052038927907394,0.6382924382045306,0.4370867173902428,0.7200615627629463,0.180310142615807,0.2701191709929288,0.5093590712138639,63,198,4,High-Margin Innovation Companies,2.9253151330801916,3.1302944976599125,0.04
85,CNOOC,"Hong Kong, Hong Kong",Oil & Gas Operations,55.09,16.96,157.2,160.38,Hong Kong,0.3078598656743511,0.1078880407124682,0.3504452926208652,2.9112361590125246,9.4563679245283,4.026957543520246,2.8881470628740535,5.063860055333554,5.08376183242036,0.604513127260364,0.5682215002500373,0.5449115702623563,0.5891033778910826,0.2844987377776716,0.3073069268701648,0.1164376843919853,0.0782435377816246,0.5046884481474023,66,19,4,High-Margin Innovation Companies,2.623150675489545,0.6007452643174388,0.04
101,Novartis,"Basel, Switzerland",Drugs & Biotechnology,54.43,13.56,118.53,271.62,Switzerland,0.2491273194929267,0.1144014173626929,0.4592086391630811,4.990262722763182,20.030973451327434,4.0151209634317135,2.67827804276854,4.7835673858898895,5.608078884142697,0.6027020648063688,0.5269298984659438,0.5124720099159377,0.6502162663942169,0.2299137916880103,0.3260184612762118,0.1545064781565437,0.1350666447230878,0.5037377729532602,67,34,4,High-Margin Innovation Companies,2.611450519159024,0.6592121016572825,0.04
71,Contemporary Amperex Technology,"Ningde, China",Capital Goods,66.05,11.14,151.46,399.01,China,0.1686601059803179,0.0735507724811831,0.4360887363000131,6.04102952308857,35.8177737881508,4.205438609727688,2.4965057856313524,5.0269022665601275,5.991489546795487,0.631821721072059,0.4911663176700216,0.5406342753135965,0.6949055111949399,0.1551290463101537,0.2086633184282686,0.1464141672638374,0.1637857747748525,0.5005999637560652,69,2,3,Asset-Heavy Financial & Infrastructure Base,2.6295602791368253,0.1305390899095295,0.04
102,AstraZeneca,"Cambridge, United Kingdom",Drugs & Biotechnology,60.43,10.38,114.02,282.14,United Kingdom,0.1717689889127917,0.0910366602350464,0.5299947377653044,4.668873076286612,27.181117533718687,4.117898315175836,2.431857428698185,4.745106026285608,5.645941474966351,0.6184275701020387,0.4784467928485963,0.5080206997965371,0.6546294211520964,0.1580183848166771,0.258896524320853,0.1792826686173602,0.1262825538557393,0.4847203245692295,84,18,3,Asset-Heavy Financial & Infrastructure Base,2.241082089711188,0.1544713301139392,0.04
61,Siemens,"Munich, Germany",Capital Goods,92.35,8.95,193.54,230.14,Germany,0.0969139144558743,0.0462436705590575,0.4771623437015604,2.492041147807255,25.713966480446928,4.536355869987732,2.2975725511705014,5.270637797441294,5.443023587547295,0.6824538986903689,0.4520263250458156,0.5688429098036796,0.6309778954418483,0.0884494580559179,0.1302158702636278,0.1607905425689963,0.0667862705362881,0.4745090662723153,94,-33,3,Asset-Heavy Financial & Infrastructure Base,2.049331827227471,-0.8560737617446428,0.04
